"","pais_region","codigo_pais_region","anyo","empleadoras_mujeres","empleadores_hombres","empleo_agricultura_mujeres","empleo_agricultura_hombres","empleo_industria_mujeres","empleo_industria_hombres","empleo_servicios_mujeres","empleo_servicios_hombres","empleo_informal_mujeres","empleo_informal_hombres","legislacion_acoso_sexual","autoempleo_mujeres","autoempleo_hombres","empleo_parcial_mujeres","desempleo_educacion_mujeres","desempleo_educacion_hombres","desempleo_mujeres","desempleo_hombres","trabajo_domestico_no_remunerado_mujeres","trabajo_domestico_no_remunerado_hombres"
"38","Argentina","ARG","2007",2.55999994277954,5.74900007247925,0.418999999761581,1.59200000762939,10.371000289917,32.9300003051758,89.2099990844727,65.4769973754883,NA,NA,NA,15.0559997558594,20.3759994506836,NA,NA,NA,NA,NA,NA,NA
"39","Argentina","ARG","2008",2.84999990463257,5.73999977111816,0.347000002861023,1.76199996471405,10.1660003662109,33.2939987182617,89.4869995117188,64.9440002441406,51.6699981689453,48.689998626709,NA,15.1190004348755,20.5669994354248,59.5515468426121,4.42929983139038,3.02379989624023,9.680100440979,6.47469997406006,NA,NA
"40","Argentina","ARG","2009",2.97399997711182,5.4689998626709,0.39300000667572,1.80599999427795,9.62199974060059,32.5120010375977,89.9860000610352,65.681999206543,50.2900009155273,48.7999992370605,0,15.7030000686646,21.0429992675781,59.687148463151,4.62610006332397,3.24569988250732,9.83129978179932,7.75699996948242,NA,NA
"41","Argentina","ARG","2010",2.90000009536743,5.58900022506714,0.379999995231628,1.87399995326996,9.3769998550415,32.7229995727539,90.2429962158203,65.4029998779297,49.5,47.1800003051758,1,15.1829996109009,20.3360004425049,59.6781042931751,3.52570009231567,2.39529991149902,NA,NA,17.5,6.5972222
"42","Argentina","ARG","2011",2.62100005149841,5.73299980163574,0.284000009298325,0.873000025749207,9.95400047302246,33.4469985961914,89.7620010375977,65.6800003051758,48.6100006103516,46.8800010681152,1,14.8760004043579,19.9440002441406,59.4036240656844,3.7639000415802,1.80239999294281,NA,NA,NA,NA
"43","Argentina","ARG","2012",2.6340000629425,4.86600017547607,0.282999992370605,0.841000020503998,9.46199989318848,33.265998840332,90.2539978027344,65.8929977416992,48.0499992370605,47.5,1,15.2229995727539,20.6849994659424,59.5417669424688,3.80139994621277,1.85749995708466,NA,NA,NA,NA
"44","Argentina","ARG","2013",2.44400000572205,4.81899976730347,0.224999994039536,0.885999977588654,8.91800022125244,34.0970001220703,90.8570022583008,65.0179977416992,46.75,47.75,1,15.8649997711182,21.363000869751,59.435378685443,3.89070010185242,2.38940000534058,NA,NA,23.4186396,9.2486009
"45","Argentina","ARG","2014",2.26200008392334,4.29300022125244,0.153999999165535,0.814999997615814,8.32600021362305,34.8230018615723,91.5199966430664,64.3610000610352,46.4700012207031,47.0200004577637,1,16.242000579834,21.8589992523193,59.3097377524897,3.91750001907349,2.32119989395142,NA,NA,NA,NA
"46","Argentina","ARG","2015",2.32999992370605,4.46299982070923,0.0710000023245811,0.391999989748001,8.5939998626709,33.8120002746582,91.3349990844727,65.7949981689453,NA,NA,1,16.8309993743896,22.2350006103516,NA,NA,NA,NA,NA,NA,NA
"47","Argentina","ARG","2016",2.37800002098084,4.61399984359741,0.0329999998211861,0.188999995589256,8.86100006103516,32.7809982299805,91.1060028076172,67.0299987792969,NA,NA,1,17.4500007629395,22.693000793457,NA,NA,NA,NA,NA,NA,NA
"48","Argentina","ARG","2017",2.45300006866455,4.80800008773804,0.0149999996647239,0.0900000035762787,9.11299991607666,31.8320007324219,90.8710021972656,68.0770034790039,47.4300003051758,48.2999992370605,1,17.9950008392334,22.9810009002686,57.1152884706508,3.97149991989136,2.32159996032715,9.44629955291748,7.51300001144409,NA,NA
"49","Argentina","ARG","2018",2.46199989318848,4.81500005722046,0.0149999996647239,0.0890000015497208,8.97500038146973,31.8239994049072,91.0100021362305,68.0869979858398,NA,NA,1,17.9969997406006,22.9839992523193,NA,NA,NA,NA,NA,NA,NA
"50","Bolivia","BOL","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Bolivia","BOL","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Bolivia","BOL","1972",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Bolivia","BOL","1973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Bolivia","BOL","1974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Bolivia","BOL","1975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Bolivia","BOL","1976",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Bolivia","BOL","1977",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Bolivia","BOL","1978",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Bolivia","BOL","1979",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Bolivia","BOL","1980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Bolivia","BOL","1981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Bolivia","BOL","1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Bolivia","BOL","1983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Bolivia","BOL","1984",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Bolivia","BOL","1985",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8299999237061,21.7800006866455,NA,NA
"66","Bolivia","BOL","1986",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.539999961853,22.2000007629395,NA,NA
"67","Bolivia","BOL","1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.6000003814697,22.6299991607666,NA,NA
"68","Bolivia","BOL","1988",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.5900001525879,19.9899997711182,NA,NA
"69","Bolivia","BOL","1989",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Bolivia","BOL","1990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Bolivia","BOL","1991",1.25999999046326,4.06300020217896,41.265998840332,40.9480018615723,11.8500003814697,23.6860008239746,46.882999420166,35.3660011291504,NA,NA,NA,36.3009986877441,41.6969985961914,NA,NA,NA,7.11999988555908,6.21999979019165,NA,NA
"72","Bolivia","BOL","1992",1.26499998569489,4.05900001525879,41.2309989929199,40.9659996032715,11.7810001373291,23.6620006561279,46.9879989624023,35.3720016479492,NA,NA,NA,36.4049987792969,41.7140007019043,NA,NA,NA,NA,NA,NA,NA
"73","Bolivia","BOL","1993",1.28199994564056,4.07600021362305,41.0190010070801,40.7840003967285,11.6990003585815,23.7919998168945,47.2820014953613,35.423999786377,NA,NA,NA,36.7039985656738,41.7869987487793,NA,NA,NA,5.26000022888184,6.53999996185303,NA,NA
"74","Bolivia","BOL","1994",1.29700005054474,4.08599996566772,40.8269996643066,40.6209983825684,11.6339998245239,23.9419994354248,47.5390014648438,35.4370002746582,NA,NA,NA,36.8950004577637,41.7859992980957,NA,NA,NA,2.83999991416931,3.25999999046326,NA,NA
"75","Bolivia","BOL","1995",1.31200003623962,4.09999990463257,40.6529998779297,40.4589996337891,11.58899974823,24.1350002288818,47.7589988708496,35.4059982299805,NA,NA,NA,36.9659996032715,41.6570014953613,NA,NA,NA,4.09000015258789,3.38000011444092,NA,NA
"76","Bolivia","BOL","1996",1.32400000095367,4.10300016403198,40.4370002746582,40.2900009155273,11.5100002288818,24.2369995117188,48.0530014038086,35.4729995727539,NA,NA,NA,37.1829986572266,41.7029991149902,NA,13.25,10.2299995422363,5.53000020980835,4.98000001907349,NA,NA
"77","Bolivia","BOL","1997",1.33700001239777,4.10599994659424,40.2130012512207,40.0919990539551,11.3760004043579,24.3549995422363,48.4099998474121,35.5530014038086,NA,NA,NA,37.4980010986328,41.8170013427734,NA,8.73999977111816,7.21999979019165,2.02999997138977,2.10999989509583,NA,NA
"78","Bolivia","BOL","1998",1.35099995136261,4.11100006103516,39.9300003051758,39.8040008544922,11.2729997634888,24.5709991455078,48.7970008850098,35625,NA,NA,NA,37.6959991455078,41.8129997253418,NA,NA,NA,NA,NA,NA,NA
"79","Bolivia","BOL","1999",1.34399998188019,4.08599996566772,39.9749984741211,39.931999206543,11.2080001831055,24.4409999847412,48.8170013427734,35.6259994506836,NA,NA,NA,37.8120002746582,41.9500007629395,NA,NA,NA,4.59000015258789,3.38000011444092,NA,NA
